teamName,apps,assistTotal,goal,manOfTheMatch,minsPlayed,name,playedPositions,playedPositionsShort,playerId,positionText,ranking,redCard,teamId,teamRegionName,tournamentName,tournamentRegionId,tournamentRegionName,yellowCard,rating
Elche,3,0,0,0,10,Federico Redondo,-DMC-,DMC,419616,Midfielder,429,0,833,Spain,LaLiga,206,Spain,0,6.12
Sevilla,2,0,0,0,100,Ramón Martínez,,Defender,536136,Defender,430,0,67,Spain,LaLiga,206,Spain,0,6.12
Elche,2,0,0,0,125,Ali Houary,,Forward,508339,Forward,431,0,833,Spain,LaLiga,206,Spain,0,6.12
Mallorca,7,0,1,0,289,Takuma Asano,-AMC-AML-AMR-FW-,"AM(CLR),FW",126316,Forward,432,0,51,Spain,LaLiga,206,Spain,1,6.12
Real Oviedo,7,0,0,0,323,Kwasi Sibo,,Midfielder,463426,Midfielder,433,0,61,Spain,LaLiga,206,Spain,0,6.118571429
Valencia,9,0,0,0,340,Lucas Beltrán,-AMC-FW-,"AM(C),FW",365410,Forward,434,0,55,Spain,LaLiga,206,Spain,0,6.113333333
Sevilla,2,0,0,0,129,Fábio Cardoso,-DC-,D(C),322771,Defender,435,0,67,Spain,LaLiga,206,Spain,0,6.11
Atletico,7,0,0,0,137,Giacomo Raspadori,-AMC-AML-FW-,"AM(CL),FW",371497,Forward,436,0,63,Spain,LaLiga,206,Spain,0,6.105714286
Mallorca,6,0,0,0,69,Abdón Prats,-FW-,FW,9270,Forward,437,0,51,Spain,LaLiga,206,Spain,0,6.105
Girona,10,0,0,0,474,Portu,-FW-MC-ML-MR-,"M(CLR),FW",106895,Forward,438,0,2783,Spain,LaLiga,206,Spain,1,6.098
Celta Vigo,5,0,0,0,105,Jones El Abdellaoui,,Forward,441888,Forward,439,0,62,Spain,LaLiga,206,Spain,0,6.098
Real Sociedad,4,0,0,0,70,Jon Karrikaburu,,Forward,423913,Forward,440,0,68,Spain,LaLiga,206,Spain,0,6.095
Levante,1,0,0,0,11,Sergio Lozano,,Midfielder,349661,Midfielder,441,0,832,Spain,LaLiga,206,Spain,0,6.09
Athletic Club,3,0,0,0,32,Urko Izeta,,Forward,463431,Forward,442,0,53,Spain,LaLiga,206,Spain,1,6.083333333
Girona,2,0,0,0,72,Dawda Camara,,Forward,444249,Forward,443,0,2783,Spain,LaLiga,206,Spain,0,6.08
