playedPositions,playedPositionsShort,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-FW-,FW,11,2,0,1,0,Mika Biereth,430909,Forward,248,Monaco,22,fr,France,Ligue 1,6.281818182,622,0,0,231
-AML-,AM(L),9,4,0,0,0,Pathé Mboup,492430,Forward,2332,Brest,22,fr,France,Ligue 1,6.281111111,424,4,0,232
-AMR-,AM(R),11,5,0,0,2,Ibrahim Osman,519755,Forward,308,Auxerre,22,fr,France,Ligue 1,6.279090909,514,0,0,233
,Forward,7,5,0,0,0,Noah Edjouma,496170,Forward,246,Toulouse,22,fr,France,Ligue 1,6.278571429,195,0,0,234
-MC-,M(C),10,8,0,1,0,Nabil Bentaleb,137521,Midfielder,607,Lille,22,fr,France,Ligue 1,6.277,244,1,0,235
-DL-,D(L),9,5,0,0,0,Fredrik Oppegård,403097,Defender,308,Auxerre,22,fr,France,Ligue 1,6.273333333,393,1,1,236
-GK-,GK,10,0,0,0,0,Obed Nkambadio,467303,Goalkeeper,2832,Paris FC,22,fr,France,Ligue 1,6.273,900,0,0,237
-MC-,M(C),12,6,0,0,0,Mário Sauer,547648,Midfielder,246,Toulouse,22,fr,France,Ligue 1,6.271666667,470,1,0,238
-FW-,FW,8,4,0,0,0,Sékou Mara,402855,Forward,308,Auxerre,22,fr,France,Ligue 1,6.26875,394,0,0,239
,Midfielder,10,6,0,0,0,Simon Ebonog,486033,Midfielder,217,Le Havre,22,fr,France,Ligue 1,6.266,354,2,0,240
,Forward,10,8,0,1,1,Ibou Sané,493104,Forward,314,Metz,22,fr,France,Ligue 1,6.264,264,1,0,241
-DC-,D(C),10,1,0,0,0,Terry Yegbe,530864,Defender,314,Metz,22,fr,France,Ligue 1,6.264,842,0,0,242
-FW-,FW,12,5,0,1,1,Mohamed Bamba,515493,Forward,146,Lorient,22,fr,France,Ligue 1,6.261666667,575,2,0,243
-MC-ML-MR-,M(CLR),9,7,0,0,1,Younes Namli,259930,Forward,217,Le Havre,22,fr,France,Ligue 1,6.26,232,1,0,244
-DL-ML-,"D(L),M(L)",7,1,0,0,0,Ben Chilwell,299272,Defender,148,Strasbourg,22,fr,France,Ligue 1,6.258571429,524,2,0,245
-MC-,M(C),12,5,0,0,0,Dehmaine Tabibou,483577,Midfielder,302,Nantes,22,fr,France,Ligue 1,6.258333333,533,1,0,246
-FW-,FW,11,5,0,1,0,Willem Geubbels,345987,Forward,2832,Paris FC,22,fr,France,Ligue 1,6.253636364,484,0,0,247
-AML-AMR-,AM(LR),7,4,0,0,0,Tiago Gouveia,437687,Forward,613,Nice,22,fr,France,Ligue 1,6.247142857,293,1,0,248
-GK-,GK,10,0,0,0,0,Radoslaw Majecki,303208,Goalkeeper,2332,Brest,22,fr,France,Ligue 1,6.247,865,0,1,249
,Forward,9,8,0,0,2,Santiago Hidalgo,437747,Forward,246,Toulouse,22,fr,France,Ligue 1,6.245555556,157,1,0,250
-MC-ML-,M(CL),11,3,0,0,0,Jessy Deminguet,345661,Midfielder,314,Metz,22,fr,France,Ligue 1,6.238181818,665,3,0,251
-DC-,D(C),11,0,0,0,0,Tylel Tati,577085,Defender,302,Nantes,22,fr,France,Ligue 1,6.229090909,966,3,0,252
