playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-DL-,D(L),England,EPL,7,0,0,0,Myles Lewis-Skelly,467918,Defender,13,Arsenal,England,Premier League,6.151428571,87,1,0,273
-FW-,FW,England,EPL,7,0,0,1,Stefanos Tzimas,519565,Forward,211,Brighton,England,Premier League,6.141428571,84,0,0,274
-MC-,M(C),England,EPL,8,0,0,0,Justin Devenny,450950,Midfielder,162,Crystal Palace,England,Premier League,6.1375,158,0,0,275
-DC-FW-MC-,"D(C),M(C),FW",England,EPL,10,0,0,0,Josh Laurent,142676,Midfielder,184,Burnley,England,Premier League,6.137,560,1,0,276
-FW-,FW,England,EPL,11,0,0,0,Thierno Barry,537713,Forward,31,Everton,England,Premier League,6.134545455,386,1,0,277
-AML-AMR-FW-,"AM(LR),FW",England,EPL,11,0,0,0,Anthony Elanga,413211,Forward,23,Newcastle,England,Premier League,6.133636364,414,0,0,278
-AMC-,AM(C),England,EPL,10,0,0,1,Hannibal Mejbri,416207,Midfielder,184,Burnley,England,Premier League,6.131,290,1,0,279
-MC-,M(C),England,EPL,7,0,0,0,Kobbie Mainoo,460260,Midfielder,32,Man Utd,England,Premier League,6.128571429,138,0,0,280
-MC-ML-MR-,M(CLR),England,EPL,10,0,0,0,Jean-Ricner Bellegarde,320242,Midfielder,161,Wolves,England,Premier League,6.126,479,1,0,281
-FW-MC-ML-MR-,"M(CLR),FW",England,EPL,9,0,0,0,Adama Traoré,140088,Forward,170,Fulham,England,Premier League,6.116666667,245,0,0,282
