,playedPositionsShort,teamRegionName,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-DC-,D(C),Italy,11,0,0,0,0,Antonio Caracciolo,83719,Defender,777,Pisa,Italy,Serie A,6.758181818,990,2,0,80
-GK-,GK,Italy,11,0,1,0,0,Zion Suzuki,447570,Goalkeeper,24341,Parma Calcio 1913,Italy,Serie A,6.756363636,990,1,0,81
-DC-,D(C),Italy,11,0,1,0,0,Simone Canestrelli,423449,Defender,777,Pisa,Italy,Serie A,6.755454545,990,1,0,82
-DC-,D(C),Italy,10,3,0,2,0,Marc Oliver Kempf,116465,Defender,1290,Como,Italy,Serie A,6.754,606,1,0,83
,Defender,Italy,7,2,0,0,0,Nicolò Bertola,416238,Defender,86,Udinese,Italy,Serie A,6.751428571,430,2,0,84
-DR-,D(R),Italy,9,3,0,0,0,Ivan Smolcic,531127,Defender,1290,Como,Italy,Serie A,6.75,597,4,0,85
-DC-DMC-,"D(C),DMC",Italy,10,0,0,0,0,Jay Idzes,422637,Defender,2889,Sassuolo,Italy,Serie A,6.746,900,0,0,86
-DC-,D(C),Italy,8,0,0,0,0,Unai Núñez,344200,Defender,76,Verona,Italy,Serie A,6.74375,640,2,0,87
-DC-,D(C),Italy,7,1,1,0,0,Pablo Marí,141032,Defender,73,Fiorentina,Italy,Serie A,6.742857143,553,2,0,88
-MC-,M(C),Italy,10,2,0,0,1,Ebenezer Akinsanmiro,482453,Midfielder,777,Pisa,Italy,Serie A,6.74,750,1,0,89
-DMC-,DMC,Italy,11,2,1,2,0,Rolando Mandragora,241020,Midfielder,73,Fiorentina,Italy,Serie A,6.738181818,781,0,0,90
-DC-DL-DR-MR-,"D(CLR),M(R)",Italy,11,0,0,0,0,Giovanni Di Lorenzo,122469,Defender,276,Napoli,Italy,Serie A,6.738181818,990,1,0,91
-DC-,D(C),Italy,11,0,1,2,0,Federico Baschirotto,446953,Defender,2731,Cremonese,Italy,Serie A,6.737272727,990,1,0,92
-DL-,D(L),Italy,10,2,0,0,1,Álex Valle,454341,Defender,1290,Como,Italy,Serie A,6.737,755,1,0,93
-DMC-,DMC,Italy,10,4,0,1,2,Petar Sucic,439534,Midfielder,75,Inter,Italy,Serie A,6.729,539,3,0,94
-FW-,FW,Italy,11,0,1,4,0,Andrea Pinamonti,317544,Forward,2889,Sassuolo,Italy,Serie A,6.727272727,926,1,0,95
-DC-DL-,D(CL),Italy,9,2,0,1,0,Mario Hermoso,344156,Defender,84,Roma,Italy,Serie A,6.726666667,664,3,0,96
-DMC-,DMC,Italy,10,1,1,1,1,Máximo Perrone,433972,Midfielder,1290,Como,Italy,Serie A,6.724,779,4,0,97
-DC-,D(C),Italy,10,2,0,0,0,Martin Frese,532910,Defender,76,Verona,Italy,Serie A,6.722,758,2,0,98
-DC-DL-,D(CL),Italy,10,0,0,0,1,Adam Obert,424534,Defender,78,Cagliari,Italy,Serie A,6.716,853,5,0,99
-DC-,D(C),Italy,8,2,0,0,1,Alessandro Buongiorno,333373,Defender,276,Napoli,Italy,Serie A,6.7125,567,0,0,100
-DR-MR-,"D(R),M(R)",Italy,11,0,1,0,1,Brooke Norton-Cuffy,431573,Defender,278,Genoa,Italy,Serie A,6.71,990,2,0,101
